age,d18O
0.0,-9.66
100.0,-9.070938511326862
200.0,-9.034751915708812
300.0,-8.997156768837804
400.0,-8.76613888888889
500.0,-8.93538888888889
600.0,-9.072666666666667
700.0,-8.849203703703704
800.0,-8.606023375834852
900.0,-8.777407907425266
1000.0,-8.979070855614973
1100.0,-8.88602380952381
1200.0,-8.902761904761904
1300.0,-8.93597268907563
1400.0,-9.049077030812324
1500.0,-8.954577922077922
1600.0,-9.031189655172414
1700.0,-8.936262315270936
1800.0,-9.01977824502383
1900.0,-9.034115271659324
2000.0,-8.682628697293897
2100.0,-8.921380952380954
2200.0,-8.972380952380952
2300.0,-9.22007142857143
2400.0,-8.856953634085214
2500.0,-8.618444568452382
2600.0,-9.1093709375
2700.0,-9.02953076923077
2800.0,-9.156265384615384
2900.0,-9.4823725
3000.0,-9.107632211538462
3100.0,-9.026707386363636
3200.0,-9.117582386363637
3300.0,-9.019064935064936
3400.0,-9.163654867256637
3500.0,-9.499688790560473
3600.0,-9.743883333333333
3700.0,-9.418166666666668
3800.0,-9.63568888888889
3900.0,-9.536444444444445
4000.0,-9.732700000000001
4100.0,-9.743020376175549
4200.0,-9.870695652173913
4300.0,-9.878683035714285
4400.0,-9.7068125
4500.0,-9.511859307359309
4600.0,-9.888897321428571
4700.0,-9.770396708683474
4800.0,-9.739379244380679
4900.0,-10.106093495934958
5000.0,-9.964121951219512
5100.0,-9.9159
5200.0,-10.007046904315196
5300.0,-9.80891651031895
5400.0,-10.0760108401084
5500.0,-10.148947735191637
5600.0,-10.120961538461538
5700.0,-10.48875101214575
5800.0,-10.259648325358853
5900.0,-10.36167441860465
6000.0,-10.387679425837321
6100.0,-10.421114250614252
6200.0,-10.353296650717702
6300.0,-10.41464832535885
6400.0,-10.309812200956937
6500.0,-10.460205741626794
6600.0,-10.171092731829575
6700.0,-10.232875255623721
6800.0,-10.392077709611453
6900.0,-10.417946830265848
7000.0,-10.37714928425358
7100.0,-10.521200223089794
7200.0,-10.543789486346686
7300.0,-10.628482136412847
7400.0,-10.67220768777512
7500.0,-10.613875839906516
7600.0,-10.511208094201464
7700.0,-10.594972222222221
7800.0,-10.612666666666668
7900.0,-10.443688202247191
8000.0,-10.445
8100.0,-10.19221505376344
8200.0,-10.334012572533847
8300.0,-10.446299999999999
8400.0,-10.6879
8500.0,-10.52512962962963
8600.0,-10.402933333333333
8700.0,-10.587652618135376
8800.0,-10.696431318681318
8900.0,-10.33839400921659
9000.0,-10.505399594320487
9100.0,-10.138362068965517
9200.0,-10.06355357142857
9300.0,-10.515615147783251
9400.0,-10.40898275862069
9500.0,-10.488954022988505
9600.0,-10.085090909090908
9700.0,-10.367596656217346
9800.0,-10.418848484848485
9900.0,-10.296440438871473
10000.0,-10.257737616099071
10100.0,-10.510944444444444
10200.0,-10.436388888888889
10300.0,-10.355977554179567
10400.0,-10.221025493421052
10500.0,-10.331559210526315
10600.0,-10.234260690789473
10700.0,-9.84225
10800.0,-10.062067434210526
10900.0,-9.68587181663837
11000.0,-10.088567434210525
11100.0,-9.84378125
11200.0,-9.378773026315788
11300.0,-9.48286677631579
11400.0,-9.208676470588236
11500.0,-8.74684090909091
11600.0,-8.368318181818182
11700.0,-8.326270562770564
11800.0,-8.39132558139535
11900.0,-8.382736631016044
12000.0,-8.186826704545453
12100.0,-8.176445454545455
12200.0,-8.178077922077922
12300.0,-8.153674924924925
