age,d18O
0.0,
100.0,
200.0,
300.0,
400.0,
500.0,
600.0,
700.0,
800.0,
900.0,
1000.0,
1100.0,
1200.0,
1300.0,
1400.0,
1500.0,
1600.0,
1700.0,
1800.0,
1900.0,
2000.0,
2100.0,
2200.0,
2300.0,
2400.0,
2500.0,
2600.0,
2700.0,
2800.0,
2900.0,
3000.0,
3100.0,
3200.0,
3300.0,
3400.0,
3500.0,
3600.0,
3700.0,
3800.0,
3900.0,
4000.0,
4100.0,
4200.0,
4300.0,
4400.0,
4500.0,
4600.0,
4700.0,
4800.0,
4900.0,
5000.0,
5100.0,
5200.0,
5300.0,
5400.0,-12.82
5500.0,-12.870000000000001
5600.0,-12.955454545454545
5700.0,-13.23
5800.0,-13.53
5900.0,-13.218333333333334
6000.0,-16.12
6100.0,-13.28
6200.0,-13.85
6300.0,-13.515
6400.0,-14.247777777777777
6500.0,-13.5
6600.0,-13.635555555555555
6700.0,-13.533333333333333
6800.0,-13.965
6900.0,-14.023333333333333
7000.0,-13.61
7100.0,-13.0
7200.0,-12.833333333333332
7300.0,-13.057500000000001
7400.0,-12.75
7500.0,-12.915
7600.0,-13.5
7700.0,-12.996
7800.0,-13.645
7900.0,-13.393333333333333
8000.0,-13.593333333333334
8100.0,-14.016666666666685
8200.0,-13.156666666666666
8300.0,-13.736666666666666
8400.0,-14.655
8500.0,-14.4
8600.0,-12.326666666666666
8700.0,-13.823333333333334
8800.0,-13.493333333333334
8900.0,-14.81
9000.0,-14.0
9100.0,-13.72
9200.0,-13.03
9300.0,-14.36
9400.0,-14.566666666666666
9500.0,-13.52
9600.0,-11.792857142857143
9700.0,-10.331111111111111
9800.0,-10.20076923076923
9900.0,-10.27888888888889
10000.0,-10.382307692307693
10100.0,-10.39
10200.0,-10.456923076923077
10300.0,-10.326153846153847
10400.0,-10.557777777777778
10500.0,-10.47923076923077
10600.0,-10.612727272727273
10700.0,-10.917272727272726
10800.0,-11.155652173913044
10900.0,-11.294782608695652
11000.0,-11.389090909090909
11100.0,-11.08
11200.0,-10.770909090909091
11300.0,-10.74409090909091
11400.0,-10.748636363636363
11500.0,-10.912272727272727
11600.0,-11.14409090909091
11700.0,-11.321363636363635
11800.0,-11.444090909090908
11900.0,-11.649999999999999
12000.0,-12.049999999999999
12100.0,-12.45
12200.0,-12.459090909090909
12300.0,-12.468181818181819
12400.0,-12.43
12500.0,-12.379999999999999
12600.0,-12.337894736842104
12700.0,-12.301052631578946
12800.0,-12.173333333333334
12900.0,-12.371111111111112
13000.0,-12.59
13100.0,-12.25
13200.0,-12.802222222222222
13300.0,-12.144444444444444
13400.0,-11.77
13500.0,-12.087777777777777
13600.0,-12.426666666666666
13700.0,-13.033333333333333
13800.0,-12.497777777777777
13900.0,-11.54888888888889
14000.0,-12.28
14100.0,-12.34
14200.0,-12.366666666666667
14300.0,-12.466666666666667
14400.0,-11.56
14500.0,-11.221111111111112
14600.0,-11.406
14700.0,-11.043333333333333
14800.0,-9.834444444444445
14900.0,-9.354444444444445
15000.0,-9.17
15100.0,-8.853333333333333
15200.0,-8.628888888888888
15300.0,-8.773333333333333
15400.0,-8.917777777777777
15500.0,-9.062222222222221
15600.0,-8.781818181818181
15700.0,-8.558333333333334
15800.0,-8.89
15900.0,-8.675
16000.0,-8.853333333333333
16100.0,-9.67999999999999
16200.0,-9.894
16300.0,-9.716
16400.0,-9.503999999999998
16500.0,-9.25
16600.0,-9.18
16700.0,-9.31
16800.0,-9.134
16900.0,-9.5
17000.0,-9.631666666666666
17100.0,-9.582
17200.0,-9.482
17300.0,-10.614
17400.0,-9.606
17500.0,-10.302
17600.0,-9.03
17700.0,-9.73
17800.0,-9.226666666666667
17900.0,-8.943999999999999
18000.0,-9.53
18100.0,-9.729999999999999
18200.0,-9.25
18300.0,-9.742
18400.0,-10.74
18500.0,-10.313333333333334
18600.0,-10.936666666666667
18700.0,-10.99
18800.0,-10.778571428571428
18900.0,-10.23
19000.0,-10.44142857142857
19100.0,-10.743333333333334
19200.0,-11.867142857142857
19300.0,-10.76
19400.0,-11.102857142857143
19500.0,-10.855
19600.0,-11.92
19700.0,-11.146666666666667
19800.0,-12.046666666666667
19900.0,-11.838333333333335
20000.0,-11.332857142857142
20100.0,-11.9
20200.0,-11.14
20300.0,-10.983333333333333
20400.0,-11.064285714285715
20500.0,-10.95
20600.0,-10.772857142857141
20700.0,-11.6
20800.0,-11.64
20900.0,-11.08
21000.0,-10.71
21100.0,-11.1
21200.0,-11.31
21300.0,-11.44
21400.0,-11.64
21500.0,-12.5
21600.0,-9.87
21700.0,-11.48
21800.0,-10.42
21900.0,-11.51
22000.0,-11.61
22100.0,-10.5
22200.0,-11.14
22300.0,-10.71
22400.0,-11.263333333333334
22500.0,-11.13
22600.0,-10.89
22700.0,-11.39
22800.0,-11.33
22900.0,-11.39
23000.0,-10.66
23100.0,-11.0
23200.0,-11.023333333333333
23300.0,-10.91
23400.0,-10.9
23500.0,-9.88
23600.0,-10.726666666666667
23700.0,-9.59
23800.0,-10.303333333333335
23900.0,-9.76
24000.0,-10.55
24100.0,-10.965
24200.0,-9.67
24300.0,-10.165
24400.0,-10.45
24500.0,-10.1525
24600.0,-9.68
24700.0,-10.045
24800.0,-11.4375
24900.0,-11.7
25000.0,-11.559999999999999
25100.0,-12.85
25200.0,-11.555
25300.0,-11.77
25400.0,-11.5775
25500.0,-12.265
25600.0,-11.66
25700.0,-11.556666666666667
25800.0,-11.46
25900.0,-12.08
26000.0,-12.09
26100.0,-11.5
26200.0,-11.01
26300.0,-11.13
26400.0,-12.016250000000001
26500.0,-11.3925
26600.0,-11.746666666666666
26700.0,-11.8375
26800.0,-11.38
26900.0,-11.702222222222222
27000.0,-11.92625
27100.0,-11.2075
27200.0,-11.51375
27300.0,-12.183333333333334
27400.0,-11.7775
27500.0,-12.025
27600.0,-12.0475
27700.0,-10.713333333333333
27800.0,-11.513750000000002
27900.0,-11.7325
28000.0,-11.314444444444444
28100.0,-11.83
28200.0,-12.635
28300.0,-11.57
28400.0,-11.030000000000001
28500.0,-11.442
28600.0,-11.822
28700.0,-11.152
28800.0,-11.76
28900.0,-11.193999999999999
29000.0,-11.32
29100.0,-11.668
29200.0,-12.749583333333334
29300.0,-11.745416666666666
29400.0,-10.741249999999999
29500.0,-10.524651162790697
29600.0,-10.645581395348838
29700.0,-10.766511627906977
29800.0,-10.887441860465117
29900.0,-10.941818181818183
30000.0,-10.896363636363636
30100.0,-10.850909090909092
30200.0,-10.737727272727273
30300.0,-10.425
30400.0,-11.035348837209302
30500.0,-11.36706131078224
30600.0,-11.238546511627908
30700.0,-11.44139534883721
30800.0,-11.68306976744186
30900.0,-11.378883720930233
31000.0,-11.477515856236785
31100.0,-11.278511627906976
31200.0,-11.24417441860465
31300.0,-11.349587737843551
31400.0,-11.271046511627906
31500.0,-11.035232558139535
31600.0,-11.0215
31700.0,-11.51377777777778
31800.0,-11.00077922077922
31900.0,-11.344999999999999
32000.0,-11.254285714285714
32100.0,-11.025
32200.0,-10.956874999999993
32300.0,-11.373961038961031
32400.0,-10.741499999999984
32500.0,-11.268428571428583
32600.0,-11.069025974025967
32700.0,-11.110250000000002
32800.0,-11.31257142857143
32900.0,-11.576
33000.0,-11.782207792207792
33100.0,-11.405785714285715
33200.0,-10.7345
33300.0,-10.817954545454544
33400.0,-10.850999999999999
33500.0,-10.6875
33600.0,-11.156500000000001
33700.0,-11.222727272727273
33800.0,-11.0375
33900.0,-11.0775
34000.0,-11.11125
34100.0,-10.597954545454545
34200.0,-10.642
34300.0,-11.044
34400.0,-10.971212121212123
34500.0,-10.599833333333333
34600.0,-10.4665
34700.0,-11.028166666666667
34800.0,-11.091363636363635
34900.0,-11.387
35000.0,-11.155000000000001
35100.0,-11.578
35200.0,-11.537272727272727
35300.0,-10.9445
35400.0,-10.914666666666667
35500.0,-10.934318181818183
35600.0,-10.485
35700.0,-11.035
35800.0,-11.438749999999999
35900.0,-11.626666666666667
36000.0,-11.875909090909092
36100.0,-11.836347826086957
36200.0,-11.176760869565218
36300.0,-11.40425
36400.0,-11.444204545454545
36500.0,-11.32425
36600.0,-10.853000000000002
36700.0,-11.222878787878788
36800.0,-11.581739130434784
36900.0,-11.83571739130435
37000.0,-11.751583333333333
37100.0,-12.172954545454544
37200.0,-12.136416666666666
37300.0,-11.55
37400.0,-12.90625
37500.0,-12.646086956521739
37600.0,-12.096304347826088
37700.0,-11.832708333333333
37800.0,-11.384791666666665
37900.0,-12.034375
38000.0,-11.242999999999999
38100.0,-11.625499999999999
38200.0,-11.207083333333333
38300.0,-10.700441176470587
38400.0,-10.10360294117647
38500.0,-10.030735294117648
38600.0,-10.216948529411765
38700.0,-10.5209375
38800.0,-9.755625
38900.0,-9.470833333333333
39000.0,-9.583749999999998
39100.0,-9.738
39200.0,-9.748750000000001
39300.0,-9.8475
39400.0,-9.8025
39500.0,-9.894375
39600.0,-9.907
39700.0,-9.9479375
39800.0,-10.064812499999999
39900.0,-10.3935
40000.0,-10.917000000000002
40100.0,-11.274
40200.0,-11.1489375
40300.0,-10.9468125
40400.0,-10.7779375
40500.0,-10.63675
40600.0,-10.57475
40700.0,-10.722000000000001
40800.0,-11.079027777777778
40900.0,-11.893875
41000.0,-11.543999999999999
41100.0,-11.408875
41200.0,-11.568249999999999
41300.0,-11.157625
41400.0,-10.496
41500.0,-10.47375
41600.0,-10.8575
41700.0,-11.30125
41800.0,-11.58
41900.0,-11.77625
42000.0,-11.807500000000001
42100.0,-11.745
42200.0,-11.62
42300.0,-12.219999999999999
42400.0,-12.354375
42500.0,-12.023125
42600.0,-12.333124999999999
42700.0,-12.3225
42800.0,-11.397499999999999
42900.0,-11.255625
43000.0,-11.54875
43100.0,-12.73625
43200.0,-12.73625
43300.0,-11.54875
43400.0,-11.233125
43500.0,-11.243125
43600.0,-11.786875
43700.0,
43800.0,
43900.0,
44000.0,
44100.0,
44200.0,
44300.0,
44400.0,
44500.0,
44600.0,
44700.0,
44800.0,
44900.0,
45000.0,
45100.0,
45200.0,
45300.0,
45400.0,
45500.0,
45600.0,
45700.0,
45800.0,
45900.0,
46000.0,
46100.0,
46200.0,
46300.0,
46400.0,
46500.0,
46600.0,
46700.0,
46800.0,
46900.0,
47000.0,
47100.0,
47200.0,
47300.0,
47400.0,
47500.0,
47600.0,
47700.0,
47800.0,
47900.0,
48000.0,
48100.0,
48200.0,
48300.0,
48400.0,
48500.0,
48600.0,
48700.0,
48800.0,
48900.0,
49000.0,
49100.0,
49200.0,
49300.0,
49400.0,
49500.0,
49600.0,
49700.0,
49800.0,
49900.0,
50000.0,
50100.0,
50200.0,
50300.0,
50400.0,
50500.0,
50600.0,
50700.0,
50800.0,
50900.0,
51000.0,
51100.0,
51200.0,
51300.0,
51400.0,
51500.0,
51600.0,
51700.0,
51800.0,
51900.0,
52000.0,
52100.0,
52200.0,
52300.0,
52400.0,
52500.0,
52600.0,
52700.0,
52800.0,
52900.0,
53000.0,
53100.0,
53200.0,
53300.0,
53400.0,
53500.0,
53600.0,
53700.0,
53800.0,
53900.0,
54000.0,
54100.0,
54200.0,
54300.0,
54400.0,
54500.0,
54600.0,
54700.0,
54800.0,
54900.0,
55000.0,
55100.0,
55200.0,
55300.0,
55400.0,
55500.0,
55600.0,
55700.0,
55800.0,
55900.0,
56000.0,
56100.0,
56200.0,
56300.0,
56400.0,
56500.0,
56600.0,
56700.0,
56800.0,
56900.0,
57000.0,
57100.0,
57200.0,
57300.0,
