Year	bcc_csm1_1	CCSM4	FGOALS_gl	FGOALS_s2	IPSL_CM5A_LR	MPI_ESM_P	CSIRO	GISS-E2-R_r1i1p121	GISS-E2-R_r1i1p127	GISS-E2-R_r1i1p127	HadCM3	CESM_member_1	CESM_member_2	CESM_member_3	CESM_member_4	CESM_member_5	CESM_member_6	CESM_member_7	CESM_member_8	CESM_member_9	CESM_member_10
850	-0.570692537672091	-0.431829694116557	NA	-0.620994856129861	-0.47596281215841	-0.170229894916013	NA	0.116333374974784	0.155406749143731	0.110545716405613	-0.620517199898313	0.0366718292231667	0.0676918029789704	0.0853404998775318	-0.000616073608512124	0.157021331787007	0.0484580993654049	0.0381732940671213	-0.0271511077885407	0.143404006958463	-0.0534637451173694
851	-0.698902636130414	-0.411177395441112	NA	-0.753160496639889	-0.742970040261295	-0.30312388940405	-0.398694910519407	0.0681739824241959	0.210336589987855	0.137876340345247	-0.553042655850004	0.246815872192201	0.181400299071925	0.251417160034578	0.170709609985465	0.165139007567973	0.324855804443416	0.191676712036099	0.120950698852482	0.216920852661474	0.0686981201176309
852	-0.575439777509015	-0.404802301613884	NA	-0.743508146265644	-0.758939072424372	-0.422623357099019	-0.40634331893234	0.0600884707993828	0.240584702964406	-0.00616351778735406	-0.560790782833646	0.187428665161178	0.0659217834469246	0.190229415893555	0.264551162719499	0.0926292419429728	0.386592864990405	0.06890449523911	0.292245864868505	0.101564407348462	0.200259399413596
853	-0.724756849995545	-0.552719161022795	NA	-0.869331320984812	-0.746459604529461	-0.335176983463038	-0.353557356112287	-0.0743956340127624	0.0305956469732337	-0.119856136693852	-0.438948636913847	0.202443313598167	0.0890541076659588	-0.0312976837154224	0.205804824829499	0.0494468688959842	0.0233116149904049	-0.0413555145269129	0.206064224243505	0.212953567504428	0.288272094726608
854	-0.724327912806459	-0.734938190828257	NA	-0.826237698450944	-0.684093049858907	-0.650792183859041	-0.416139580719755	-0.402800269203726	-0.330588644568343	-0.488118978991406	-0.812193697357725	0.0627948760981667	0.137882232665959	-0.233049392700423	-0.227239608764535	-0.156577301024981	-0.339176177978572	-0.103824996947878	0.0584201812744709	-0.00610160827653772	-0.00661926269538071
855	-0.650715856200582	-0.694722728735304	NA	-0.944626453149851	-0.742730990753867	-0.818970326479211	-0.630773164742277	-0.44722891576821	-0.462055510107893	-0.446209522738354	-0.768211549187254	-0.219370651244787	0.17340469360397	-0.194993972778434	-0.0452327728275463	-0.255332183837993	-0.251163482665561	-0.0856975555419126	0.0199680328364593	-0.188962936401538	-0.159542846679358
856	-0.693901509700915	-0.561787379377597	NA	-0.891921693246206	-0.930185270367661	-0.575481400053233	-0.516040541641996	-0.308274693565909	-0.397196417872328	-0.345893892302411	-0.447819536591123	-0.208750534057799	-0.0646629333500641	-0.171495437622468	-0.0515193939205005	-0.206412506104016	0.101192474365405	-0.100956344604924	0.0307407379144706	-0.0722637176515377	-0.0858428955083923
857	-0.533168310364971	-0.681474971089908	NA	-0.720504390634338	-0.708491197953304	-0.48445617961782	-0.538407721035765	-0.152169532852713	-0.239026969496626	-0.196826162590878	-0.417387252712797	-0.18656425476081	-0.0671043396000641	-0.142534255981445	-0.0942440032955005	-0.160391998291004	0.271358489990405	0.0210224151610987	-0.129751205444506	-0.0579814910885261	-0.105709838867369
858	-0.671506223771575	-0.578863275296432	NA	-0.61491599540401	-0.549369879975784	-0.595511600113363	-0.54244909476547	-0.0942595524364151	-0.111083453719039	-0.201951506390469	-0.472174471283506	-0.0635173797608104	0.0338172912599362	0.124158859252532	0.0351200103764882	-0.0899269103999814	0.0131187438964275	0.283809280395076	-0.266775131225529	0.0543537139894283	-0.168698120117369
859	-0.589383938235602	-0.514326078736043	NA	-0.730916331429954	-0.535820511299537	-0.478329529790497	-0.570098437779234	0.00337260238593445	-0.0563085584086366	-0.176666500821011	-0.491081243420194	0.178578567505213	-0.0620079040530754	0.077711105346566	0.116327285766488	-0.129264068604016	-0.0268592834476067	0.28472480773911	-0.186452865600529	0.264986038208463	-0.132260131836404
860	-0.646729700082463	-0.47764127076798	NA	-0.711140976752533	-0.726701567874046	-0.453958485136933	-0.415255524628446	-0.0117826236062683	-0.0625981895369478	-0.0504471537016798	-0.515420978928159	0.0816547393802125	-0.208553314209041	-0.134447097778434	0.173822402954499	-0.131980133057027	0.0352439880373936	-0.194157028197878	-0.173452377319506	0.170381546020451	0.170077514648597
861	-0.647346849008815	-0.435054795708096	NA	-0.739467388914066	-0.745332874770973	-0.538617327852592	-0.332480438463972	-0.173153616266791	-0.120886182610411	-0.188149633660214	-0.436192845964979	-0.169596481323822	-0.0446128845210296	-0.0615711212154224	0.147455215454499	0.0614097595220073	-0.0174293518065838	-0.265934371947878	-0.195669174194506	-0.182737350463526	0.144351196288596
862	-0.665934636088031	-0.239112993281403	NA	-0.792987244594895	-0.724590842705665	-0.482791752220463	-0.328701921217726	-0.140373058395926	-0.260989463154692	-0.188838097109692	-0.370673393869947	-0.107523727416833	0.224460601806925	-0.0890979766844566	-0.0149593353275463	0.135872650145984	0.0512046813964275	-0.18011894226089	-0.0978298187255291	-0.210599899291537	-0.046444702148392
863	-0.534706160659724	-0.53340349896539	NA	-0.508767528996157	-0.547117981988595	-0.413241538528546	-0.525106706135557	-0.0382101012044586	-0.200339948956389	-0.192023697152035	-0.258700227404188	0.0524494171141896	0.15793228149397	-0.158037185668434	-0.162389755249535	-0.0288307189940156	0.0888023376464275	0.0247455596921213	0.118844985961459	-0.10918998718256	-0.0768096923823691
864	-0.53481310004336	-0.689255704150333	NA	-0.676239306141387	-0.443857949106704	-0.360966670743055	-0.481913187020109	-0.0437341851764358	-0.111607527558226	-0.211855712189572	-0.277434444094251	0.0595600128172009	-0.135860443115064	-0.0715198516844566	-0.115362167358512	-0.0694190978999814	0.0933189392094391	-0.113621139526913	0.167734146118505	-0.23614311218256	-0.00155334472640334
865	-0.662098251076739	-0.656730721548301	NA	-0.649380354304941	-0.601019841868267	-0.313511184924505	-0.501283444874571	-0.039068467693869	-0.148618435685057	-0.12633469964494	-0.426922297144483	-0.0635478973388217	0.0257606506349362	-0.109788894653434	0.0114078521724537	-0.0364295959470269	0.337459564209439	-0.0219768524169126	0.23148536682146	-0.252683639526538	-0.0135772705083923
866	-0.715939616045928	-0.567695162676337	NA	-0.678832569179136	-0.689815332151096	-0.476022049324966	-0.554528095238493	-0.0328658295446075	-0.168910866801161	-0.233600827708142	-0.423071241045545	-0.124766159057799	-0.00555038452102963	0.0472545623775318	-0.0509395599365234	-0.0282203674320272	0.251766204834439	0.205257034302122	-0.148519515991495	-0.0211467742915374	0.141543579101608
867	-0.575108817858017	-0.3750465764495	NA	-0.806525310687032	-0.624937260043685	-0.455429921676967	-0.526065804474638	-0.0581242663436569	-0.0884161947411485	-0.249046983971493	-0.359373455906461	-0.106791305541833	-0.0728111267090412	0.334760665893555	-0.153722763061523	0.0150535583500186	-0.0164222717285725	0.25347480773911	-0.211477279663541	0.0604267120364739	0.313784790038596
868	-0.710274879015569	-0.552635994193838	NA	-0.72094781010272	-0.668742724217683	-0.380418434376029	-0.402009435408399	-0.0952929479652084	-0.076250096980948	-0.137601840152638	-0.360048210287641	-0.171213912963822	0.00586318969692456	0.218152999877532	-0.137273788452546	0.145485687255984	-0.0404090881345951	-0.123173141479924	-0.00987815856950647	0.080537796020451	-0.0509613037114036
869	-0.625650323289835	-0.555054357018643	NA	-0.704343121441417	-0.690097360822067	-0.432898006565812	-0.411821820252226	-0.165697611647192	-0.18285370451631	-0.0991213795088697	-0.173913246059965	0.147023391723167	0.0803565978999359	-0.120531082153434	-0.0544490814205005	0.315224456787007	0.0391807556154049	-0.222904586791913	0.0583286285404938	0.032686233520451	-0.161587524414358
